"","theta","beta","gamma","type"
"1",0.0035216474408537,0.568011150240509,0.299022111145131,"sparse"
"2",0.0926160955194102,0.836604525371602,0.354358252504129,"sparse"
"3",0.0160371327796185,1.10269617223314,0.413411739430127,"sparse"
"4",0.0663047520292648,0.428606683390296,0.321698510509737,"sparse"
"5",0.113729400292819,0.504185235244855,0.308314065165016,"sparse"
"6",0.115843870707451,0.862883751172114,0.331220102393845,"sparse"
"7",0.075766557961942,0.821536306576656,0.307756879558802,"sparse"
"8",0.0873466900336826,0.770690965516613,0.296560593001921,"sparse"
"9",0.123249011294372,0.673178483589633,0.300135126871983,"sparse"
"10",0.119016646185655,0.843983341919496,0.381117097289332,"sparse"
"11",0.00873393209535367,0.504536179928448,0.385914411793126,"sparse"
"12",0.0957794521783588,0.723713232834598,0.329727838971431,"sparse"
"13",0.0191692171101712,0.604806485764276,0.355533180738517,"sparse"
"14",0.0401205016839674,0.381737076479716,0.338906179082139,"sparse"
"15",0.0149933891832603,0.327946545323609,0.257153232087628,"sparse"
"16",0.0275277308847899,1.153413071904,0.445908382785128,"sparse"
"17",0.0254372446329736,0.714614240592434,0.336565748359875,"sparse"
"18",0.0317104147291458,0.58203678136692,0.284805846344359,"sparse"
"19",0.121132542768385,0.522167672153651,0.251886474816658,"sparse"
"20",0.127483658304638,0.686187037449829,0.284188834885033,"sparse"
"21",0.012093774816834,0.308740766660511,0.345282987519006,"sparse"
"22",0.0139497886921782,0.676038295476112,0.285824411209072,"sparse"
"23",0.0170810174581628,0.575174593793643,0.309521759310984,"sparse"
"24",0.022302588818415,0.410713923541304,0.275899527615811,"sparse"
"25",0.0452992019181802,0.450656681585617,0.327734680898321,"sparse"
"26",0.0296187877302785,0.413223331804021,0.22364674869914,"sparse"
"27",0.0110537464650169,0.573849641536137,0.272253997067908,"sparse"
"28",0.0558051970567635,0.736218252710755,0.2864091308231,"sparse"
"29",0.0297523821023041,0.590918190718847,0.3160112058973,"sparse"
"30",0.00481057851700573,0.95652013496116,0.337763890877194,"sparse"
"31",0.307398977971679,1.13564768841174,0.368353476051616,"sparse"
"32",0.0120937748262359,0.783067590402699,0.365598083102085,"sparse"
"33",0.0243922156097816,1.17054026217736,0.352392768566983,"sparse"
"34",0.0245629619267301,0.596080190236352,0.288480366150509,"sparse"
"35",0.066304751670005,0.688039124059507,0.247545608075694,"sparse"
"36",0.120074523075087,0.813166547862815,0.343330652063712,"sparse"
"37",0.0494395888551167,0.695932763601445,0.349280058307725,"sparse"
"38",0.0652541531282691,0.506036093034805,0.284004387855343,"sparse"
"39",0.0768185833350286,0.693261381717458,0.364564981886926,"sparse"
"40",0.0862932368036142,0.890083557567788,0.373153323910572,"sparse"
"41",0.0379887268307706,0.631878310491773,0.27834605807173,"sparse"
"42",0.21265586087714,1.1229582728106,0.319050235941405,"sparse"
"43",0.0338026150546715,0.679050177652167,0.273858791346448,"sparse"
"44",0.0705085710525104,0.832197884790762,0.382142058306527,"sparse"
"45",0.130661142257789,0.736041272044407,0.307953018052824,"sparse"
"46",0.0894540241333515,0.660120677809419,0.308675616957487,"sparse"
"47",0.0721708154715651,0.545530579625666,0.285206644091557,"sparse"
"48",0.110558765016336,0.613980039250301,0.29532379327627,"sparse"
"49",0.00689220652414257,0.755355029632938,0.36674011487457,"sparse"
"50",0.0411298115647647,0.675011384650737,0.35581526394977,"sparse"
"51",0.00977681941914565,0.68397388765759,0.345263857090151,"sparse"
"52",0.0348489285019082,0.450266638890413,0.314686692207498,"sparse"
"53",0.133839909906961,0.951611468299187,0.353961611645133,"sparse"
"54",0.130661141317626,0.808701061246754,0.307816076703721,"sparse"
"55",0.0254372451980878,0.968625082716279,0.36240801839995,"sparse"
"56",0.117958911201928,0.841130768594313,0.320003263988278,"sparse"
"57",0.11901664570236,1.10860377615224,0.382063962826982,"sparse"
"58",0.02334733085703,1.44317933519955,0.362802034966954,"sparse"
"59",0.0120937740945273,0.563396967821429,0.276515534190394,"sparse"
"60",0.0894540236861088,0.944727428846774,0.401834551822141,"sparse"
"61",0.0852399263222887,0.935484921970959,0.277842647932703,"sparse"
"62",0.113729400674577,0.485075302921552,0.357237338121119,"sparse"
"63",0.0621032167100071,0.706107436048445,0.312287956779079,"sparse"
"64",0.0568545099665974,0.398803839838626,0.336540619999109,"sparse"
"65",0.11690131960849,1.16117351423825,0.453628929664689,"sparse"
"66",0.147629406863508,0.845803239579786,0.334695616550845,"sparse"
"67",0.159316271953575,0.951647746132358,0.39565649554845,"sparse"
"68",0.0348489282344111,0.636270474133645,0.312652916027872,"sparse"
"69",0.110558765358792,0.673634217186592,0.319710853115356,"sparse"
"70",0.0726113366497296,0.526887609454381,0.284886478026443,"sparse"
"71",0.252356599909823,1.00195910036809,0.37689582767288,"sparse"
"72",0.0379887273128745,0.704896839109456,0.308065203956078,"sparse"
"73",0.152939478890445,0.937181280040727,0.348652611656505,"sparse"
"74",0.0736629349192073,0.969083362848044,0.3707745371402,"sparse"
"75",0.0296187878033851,0.52673080672509,0.232375287536424,"sparse"
"76",0.0894540228492109,0.706183878419286,0.296976808221426,"sparse"
"77",0.196616556633632,0.892928348237144,0.333789386580305,"sparse"
"78",0.135959802419542,0.829827337843151,0.26802604071997,"sparse"
"79",0.128542677312989,0.496021118820381,0.287397877095255,"sparse"
"80",0.0673554923153896,0.587832838231703,0.265841781993646,"sparse"
"81",0.00873393269042722,0.394657366030592,0.293605364558946,"sparse"
"82",0.054756027898623,0.643404128992925,0.287066681009688,"sparse"
"83",0.0317104160957054,0.546900109895018,0.299918824937522,"sparse"
"84",0.11055876615349,0.695710018548825,0.357976598440582,"sparse"
"85",0.00873393243768783,0.497254122250892,0.31508639729529,"sparse"
"86",0.101054567472213,0.68910339297951,0.246857883094624,"sparse"
"87",0.0862932368841276,0.799853508416255,0.329499216206338,"sparse"
"88",0.272819276366113,1.09745306847653,0.366991385192779,"sparse"
"89",0.0810281122100267,0.702467360777072,0.266533780931374,"sparse"
"90",0.0579039660217364,0.940025271882677,0.352373268889717,"sparse"
"91",0.102110018126824,1.2106867851986,0.406155913687855,"sparse"
"92",0.00873393092925401,0.861287441745873,0.36045021536181,"sparse"
"93",0.0421771239919078,0.829906485164141,0.306529033797818,"sparse"
"94",0.0358953853938599,0.638519440953101,0.372253123529292,"sparse"
"95",0.0642036987334738,1.0202679449162,0.374553347407635,"sparse"
"96",0.00664858942378177,0.49415817616186,0.297299847182405,"sparse"
"97",0.0999992589410361,0.813967676739259,0.302071002434822,"sparse"
"98",0.0254372451634335,0.591972860652831,0.333763694086295,"sparse"
"99",0.0778707505879608,0.784388594946139,0.290650329199985,"sparse"
"100",0.0243922169949842,0.553060339715253,0.317558812607015,"sparse"
"101",0.170313748910736,1.96486461781212,0.567283900611342,"dense"
"102",0.353375764059418,0.848634336274034,0.630202662806145,"dense"
"103",0.438942123213765,1.53832755374464,0.654584221899529,"dense"
"104",0.430822957284568,1.99500849650711,0.553570214156858,"dense"
"105",0.241094086982624,1.22906507163476,0.508972579768559,"dense"
"106",0.0680911507710539,1.04732481380024,0.612896412053357,"dense"
"107",0.153779031847334,1.35973488855142,0.70326373298036,"dense"
"108",0.0035216474408537,1.44398753756324,0.657814485847595,"dense"
"109",0.502879720895263,1.62973035773208,0.517851755104753,"dense"
"110",0.533950959165238,1.8660814228311,0.672009218822982,"dense"
"111",0.5561381643752,1.55471133951607,0.525271859041781,"dense"
"112",0.21746399439029,2.09541573448414,0.569984628461685,"dense"
"113",0.300994992515827,1.06736813192396,0.714329569157673,"dense"
"114",0.24027727588239,2.09335879835433,0.642158406153962,"dense"
"115",0.189525875941953,1.74234138397623,0.482721477778332,"dense"
"116",0.239918159771965,1.48136522853477,0.66122922722269,"dense"
"117",0.534599980347129,1.58659166910123,0.65066205584984,"dense"
"118",0.344634291368859,1.51468785838368,0.602177201532513,"dense"
"119",0.166461334417526,1.47830895769028,0.625287787392039,"dense"
"120",0.156214271068328,1.25070988216935,0.53277933825416,"dense"
"121",0.258559673795686,1.05764401763377,0.525437562654148,"dense"
"122",0.175374794554087,1.59257900269006,0.679179034877398,"dense"
"123",0.614595865274077,0.652515129669714,0.675619879962816,"dense"
"124",0.226244210093225,1.02012666522932,0.588879906427446,"dense"
"125",0.314722430659922,0.999304789250959,0.656020396218072,"dense"
"126",0.151753332692177,1.77507261697755,0.629784433085935,"dense"
"127",0.0883071161741183,0.719350255360553,0.73066250009219,"dense"
"128",0.298971957921728,2.30998597028517,0.510716303784185,"dense"
"129",0.0598468673854325,1.32597490400497,0.823806473578738,"dense"
"130",0.171253025452778,1.63690539089237,0.596813596021555,"dense"
"131",0.491947822531028,1.86303504069484,0.693963611582112,"dense"
"132",0.117744709929668,2.35930085661695,0.613456135409684,"dense"
"133",0.290551668412711,1.58679339473746,0.611291883555076,"dense"
"134",0.185610194315866,1.71502149956288,0.777525977440086,"dense"
"135",0.0516914410380955,1.05706034578584,0.567620831469664,"dense"
"136",0.370359421216097,1.57700553587622,0.580205614682783,"dense"
"137",0.358971033696355,1.53159794368997,0.476700842132648,"dense"
"138",0.160811440852959,0.770958450355124,0.594252219825278,"dense"
"139",0.202042329690377,1.23407387607121,0.596385619775663,"dense"
"140",0.385612772289751,0.989075632686857,0.685748003596087,"dense"
"141",0.33904699271532,1.26184569911187,0.588980822939829,"dense"
"142",0.532021295463786,1.45826039622274,0.758797517565104,"dense"
"143",0.424309765793355,1.46154408242239,0.60036076540793,"dense"
"144",0.636794220351382,1.82793483220961,0.739776531977816,"dense"
"145",0.147659413183264,1.26472897556525,0.774000307399038,"dense"
"146",0.320274949839617,1.89644181002688,0.603037898156299,"dense"
"147",0.414219386035399,1.22905659689669,0.596693856782344,"dense"
"148",0.353377180692194,2.06711819716891,0.639003309862752,"dense"
"149",0.312680062215629,1.52016632351451,0.59370339718107,"dense"
"150",0.414819904796013,1.49097284498063,0.64661260502324,"dense"
"151",0.19347456396611,1.62465091102315,0.785123375353103,"dense"
"152",0.229495103309579,1.34853887827674,0.485391658522289,"dense"
"153",0.0272966755318834,1.96381390455987,0.579340787253792,"dense"
"154",0.337802968509734,1.1915218529851,0.665856653622268,"dense"
"155",0.370574656065131,1.94173555208781,0.624739495787686,"dense"
"156",0.396617228554087,1.38643689112085,0.562686129096867,"dense"
"157",0.249409484486003,1.66969751308809,0.766884142595652,"dense"
"158",0.51652093354863,1.43274807255581,0.560420695012512,"dense"
"159",0.134936915593061,0.955484381052779,0.576350013731072,"dense"
"160",0.340978037881532,1.69962470841033,0.646807868933024,"dense"
"161",0.36359183769914,1.44706732327848,0.553719662417557,"dense"
"162",0.165340571212424,1.09825457012806,0.538080266368813,"dense"
"163",0.25398924137837,1.35825484646455,0.43188346295893,"dense"
"164",0.229313273409356,0.931713959345682,0.680489020985563,"dense"
"165",0.418882038496365,1.51744931338863,0.558832857699268,"dense"
"166",0.478527657172322,0.69661263586892,0.755272137535344,"dense"
"167",0.159366373622744,0.989887280899878,0.704549222870263,"dense"
"168",0.38992958996321,1.95773145736479,0.466815972629278,"dense"
"169",0.303044317332353,1.3719974864675,0.583331560317166,"dense"
"170",0.337829821489803,1.12044201858502,0.656760413812676,"dense"
"171",0.238363399596758,1.2912436942639,0.600267459299663,"dense"
"172",0.256164911173709,1.41720035141285,0.629040596049257,"dense"
"173",0.177578074578201,1.35739901320186,0.592305665739509,"dense"
"174",0.371351415376958,1.47947805890265,0.675470975407414,"dense"
"175",0.417809291397607,1.56586260565644,0.6308187631208,"dense"
"176",0.266642659491624,1.46063843015421,0.676306998785685,"dense"
"177",0.340422561347712,1.74336452479031,0.556570291352065,"dense"
"178",0.295938774362279,1.65854942002709,0.597386247027937,"dense"
"179",0.112141131670384,1.74135843557095,0.63046341677767,"dense"
"180",0.115479034908178,1.63496745497821,0.660579237015887,"dense"
"181",0.206601141482863,1.35312961942638,0.681619944573233,"dense"
"182",0.294882582659285,1.35517433208961,0.591483893247108,"dense"
"183",0.440701207633372,1.5679039399514,0.524093824347696,"dense"
"184",0.0035216474408537,1.25365883822696,0.628478456040526,"dense"
"185",0.134154672532412,1.27784338835557,0.622608832334166,"dense"
"186",0.103297582634798,1.36199508581589,0.546978109586405,"dense"
"187",0.0642238243895271,1.43931706916608,0.669306661722096,"dense"
"188",0.133821110723146,1.67389347144625,0.519348436042056,"dense"
"189",0.175152391311789,1.33916434199087,0.571936519909486,"dense"
"190",0.5438830703358,1.19515420673001,0.723843605024262,"dense"
"191",0.392519916991305,1.72170561401661,0.636822031992717,"dense"
"192",0.0875252760089687,1.37519840894892,0.698931134742497,"dense"
"193",0.378049191857838,1.07852389505241,0.719049419683103,"dense"
"194",0.355870747152184,1.44383005303515,0.505537088199639,"dense"
"195",0.232502811685464,1.82757165758188,0.585576221131169,"dense"
"196",0.509277131290997,1.27379489890628,0.490869359818737,"dense"
"197",0.173796595732163,1.78071754620984,0.786566025130417,"dense"
"198",0.14776322759303,1.03753430469052,0.707137987108907,"dense"
"199",0.534024335949123,1.35148304986664,0.749175603793542,"dense"
"200",0.134752477781461,1.34002008602814,0.698620751755674,"dense"
